code,area,year,1_year_survival_rate,2_year_survival_rate,3_year_survival_rate,4_year_survival_rate,5_year_survival_rate,birth_rate,death_rate
E09000022,Lambeth,2005,94.6,76.3,60.1,49.4,39.0,16.3,12.7
E09000023,Lewisham,2005,93.9,76.2,58.9,47.2,37.8,16.6,12.1
E09000024,Merton,2005,95.0,75.8,58.3,46.7,36.7,15.4,13.1
E09000025,Newham,2005,97.2,88.2,51.3,21.5,16.6,37.4,15.1
E09000026,Redbridge,2005,93.5,75.5,58.0,48.6,37.7,15.2,13.7
E09000027,Richmond upon Thames,2005,95.2,82.9,67.7,56.9,45.9,12.3,10.7
E09000028,Southwark,2005,95.2,80.4,63.4,52.6,41.8,15.9,12.0
E09000029,Sutton,2005,94.3,81.8,67.3,57.9,46.9,12.3,11.3
E09000030,Tower Hamlets,2005,94.4,78.3,61.6,49.6,35.8,17.4,13.0
E09000031,Waltham Forest,2005,93.2,74.3,57.2,45.9,35.6,16.2,14.7
E09000032,Wandsworth,2005,93.9,75.1,57.2,46.4,37.3,16.4,13.7
E09000033,Westminster,2005,94.2,77.2,62.2,51.8,43.1,12.4,12.7
E13000001,Inner London,2005,94.5,78.2,60.7,48.1,38.7,14.6,12.1
E13000002,Outer London,2005,94.9,78.4,61.8,51.2,40.8,13.9,12.3
E12000001,North East,2005,93.6,79.2,63.4,51.9,43.2,13.2,10.6
E12000002,North West,2005,94.6,80.3,64.8,53.7,43.2,13.4,10.4
E12000003,Yorkshire And The Humber,2005,93.1,77.9,62.5,51.8,43.0,12.5,10.7
E12000004,East Midlands,2005,94.1,79.9,65.4,54.9,45.2,12.8,10.4
E12000005,West Midlands,2005,94.4,80.2,64.6,54.0,44.2,12.6,10.5
E12000006,East,2005,94.1,80.5,66.0,55.4,46.1,11.8,10.0
E12000007,London,2005,94.7,78.3,61.2,49.6,39.7,14.3,12.2
E12000008,South East,2005,94.7,81.7,67.4,56.4,46.8,12.0,10.2
E12000009,South West,2005,94.5,80.9,66.8,57.1,48.1,11.3,9.6
E92000001,England,2005,94.3,79.9,64.6,53.7,44.1,12.7,10.6
W92000004,Wales,2005,94.1,79.7,64.4,53.6,44.4,12.4,9.9
S92000003,Scotland,2005,93.4,77.4,64.0,53.9,45.6,12.4,10.0
N92000002,Northern Ireland,2005,94.5,81.9,71.1,62.5,54.0,10.5,6.7
K04000001,England And Wales,2005,94.3,79.9,64.6,53.7,44.1,12.7,10.6
K03000001,Great Britain,2005,94.3,79.8,64.6,53.7,44.2,12.6,10.5
K02000001,United Kingdom,2005,94.3,79.8,64.7,53.9,44.4,12.6,10.5
E09000001,City of London,2006,95.5,82.0,70.2,57.1,50.2,10.0,7.7
E09000002,Barking and Dagenham,2006,95.9,80.4,62.9,47.5,39.2,14.8,10.5
E09000003,Barnet,2006,95.3,76.7,62.3,50.6,42.1,11.6,12.5
E09000004,Bexley,2006,97.2,83.2,69.3,54.9,45.8,13.3,10.9
E09000005,Brent,2006,95.5,77.0,59.7,46.1,38.0,13.8,11.7
E09000006,Bromley,2006,95.4,81.8,68.0,53.7,44.9,12.7,10.1
E09000007,Camden,2006,96.0,78.5,63.2,50.1,42.7,10.9,9.4
E09000008,Croydon,2006,94.3,75.0,60.4,47.3,38.6,13.9,11.1
E09000009,Ealing,2006,96.3,78.9,62.5,48.1,40.8,13.6,11.1
E09000010,Enfield,2006,95.3,78.3,64.6,47.8,39.7,14.3,11.7
E09000011,Greenwich,2006,94.1,78.7,61.7,47.6,39.9,15.5,11.4
E09000012,Hackney,2006,95.5,78.6,64.7,50.5,43.2,13.9,9.9
E09000013,Hammersmith and Fulham,2006,95.2,75.9,60.9,46.8,37.1,13.5,12.5
E09000014,Haringey,2006,95.6,77.0,61.1,48.4,41.6,13.4,11.9
E09000015,Harrow,2006,97.1,80.4,65.4,51.6,45.0,12.1,10.8
E09000016,Havering,2006,96.0,81.4,68.9,53.8,44.1,11.6,10.9
E09000017,Hillingdon,2006,96.6,79.8,63.9,50.4,42.1,12.6,10.0
E09000018,Hounslow,2006,95.3,80.4,64.7,51.4,40.9,13.0,10.5
E09000019,Islington,2006,96.3,78.7,65.9,53.2,44.8,13.0,10.1
E09000020,Kensington and Chelsea,2006,97.2,81.3,67.1,54.9,45.3,12.2,8.9
E09000021,Kingston upon Thames,2006,97.6,81.8,65.3,54.1,45.9,12.6,9.7
E09000022,Lambeth,2006,96.4,77.6,62.2,47.1,39.1,15.2,11.2
E09000023,Lewisham,2006,96.2,78.9,64.3,49.8,41.3,15.8,12.4
E09000024,Merton,2006,94.8,76.6,61.3,46.8,39.5,15.6,12.5
E09000025,Newham,2006,96.7,75.6,57.2,43.5,35.0,16.9,11.7
E09000026,Redbridge,2006,95.4,74.4,57.6,42.8,34.4,15.8,12.2
E09000027,Richmond upon Thames,2006,96.9,81.3,65.6,52.7,45.3,11.6,9.0
E09000028,Southwark,2006,96.3,79.4,62.8,48.1,40.6,15.4,10.8
E09000029,Sutton,2006,96.9,82.1,67.9,55.6,48.8,12.4,10.1
E09000030,Tower Hamlets,2006,96.5,78.9,63.1,49.3,41.0,15.7,11.7
E09000031,Waltham Forest,2006,96.1,77.5,61.5,41.8,33.3,16.5,12.9
E09000032,Wandsworth,2006,96.0,78.7,62.9,48.4,40.4,14.6,12.0
E09000033,Westminster,2006,95.9,79.2,65.3,51.9,44.7,11.7,9.7
E13000001,Inner London,2006,96.1,78.7,63.9,50.3,42.4,13.0,10.3
E13000002,Outer London,2006,95.8,78.9,63.5,49.4,41.2,13.3,11.1
E12000001,North East,2006,96.7,80.1,64.5,52.1,43.6,12.1,9.3
E12000002,North West,2006,96.6,80.1,65.2,51.4,43.0,12.3,9.4
E12000003,Yorkshire And The Humber,2006,96.4,79.6,64.1,51.2,42.9,11.5,9.6
E12000004,East Midlands,2006,96.7,81.2,67.0,53.3,45.0,11.7,9.1
E12000005,West Midlands,2006,96.6,80.8,66.6,53.1,44.7,11.4,9.3
E12000006,East,2006,96.1,81.1,66.5,54.1,45.9,11.1,9.1
E12000007,London,2006,95.9,78.8,63.7,49.9,41.8,13.2,10.7
E12000008,South East,2006,97.0,82.7,68.8,56.3,47.8,11.0,9.1
E12000009,South West,2006,96.8,82.3,69.0,56.6,48.9,10.7,8.9
E92000001,England,2006,96.5,80.7,66.2,53.0,44.8,11.7,9.5
W92000004,Wales,2006,96.5,80.5,65.3,52.5,44.3,11.0,9.0
S92000003,Scotland,2006,96.5,80.3,65.7,54.4,46.3,10.9,9.1
N92000002,Northern Ireland,2006,95.5,81.0,70.3,59.9,50.5,10.1,6.8
K04000001,England And Wales,2006,96.5,80.7,66.2,53.0,44.8,11.7,9.5
K03000001,Great Britain,2006,96.5,80.7,66.1,53.1,44.9,11.6,9.5
K02000001,United Kingdom,2006,96.5,80.7,66.2,53.2,45.0,11.6,9.4
E09000001,City of London,2007,96.6,82.8,66.0,55.9,49.8,10.3,13.5
E09000002,Barking and Dagenham,2007,99.0,79.4,56.5,44.1,38.2,14.8,10.4
E09000003,Barnet,2007,99.8,82.0,59.7,49.2,42.5,12.4,14.3
E09000004,Bexley,2007,96.0,79.3,61.6,49.4,43.1,12.7,10.2
E09000005,Brent,2007,94.9,76.0,55.5,47.1,39.7,14.9,11.6
E09000006,Bromley,2007,94.6,82.6,61.4,50.6,43.7,14.1,9.7
E09000007,Camden,2007,98.5,82.5,62.9,50.8,43.4,11.8,11.4
E09000008,Croydon,2007,95.0,80.3,60.5,48.9,41.4,13.6,11.6
E09000009,Ealing,2007,90.2,75.2,55.4,45.2,38.6,14.9,10.7
E09000010,Enfield,2007,96.1,77.8,58.7,49.0,41.6,13.0,12.3
E09000011,Greenwich,2007,93.5,77.9,58.1,46.7,39.7,15.6,10.8
E09000012,Hackney,2007,95.7,81.3,61.9,51.0,46.1,15.0,10.9
E09000013,Hammersmith and Fulham,2007,92.7,75.6,54.7,44.3,38.1,15.7,12.1
E09000014,Haringey,2007,97.2,80.3,61.9,51.6,44.9,14.6,12.5
E09000015,Harrow,2007,100.0,84.4,65.2,54.6,46.2,12.9,11.3
E09000016,Havering,2007,94.9,78.8,59.5,49.5,40.9,12.8,10.2
E09000017,Hillingdon,2007,97.5,82.8,63.2,52.5,47.1,12.8,10.4
E09000018,Hounslow,2007,95.6,80.9,59.2,48.2,42.3,14.4,10.3
E09000019,Islington,2007,96.4,80.6,62.9,51.4,45.0,13.7,11.0
E09000020,Kensington and Chelsea,2007,92.4,78.2,59.7,49.5,42.3,12.9,10.0
E09000021,Kingston upon Thames,2007,97.6,85.4,65.0,51.7,45.4,14.4,11.1
E09000022,Lambeth,2007,93.5,79.0,57.8,46.6,39.6,17.8,10.8
E09000023,Lewisham,2007,93.1,79.7,58.3,48.0,41.1,17.3,11.2
E09000024,Merton,2007,95.1,78.6,61.4,48.9,42.1,16.0,11.2
E09000025,Newham,2007,92.6,73.4,53.8,43.1,36.2,16.7,12.3
E09000026,Redbridge,2007,97.4,79.3,57.9,47.8,41.1,15.7,14.6
E09000027,Richmond upon Thames,2007,95.2,81.7,64.5,53.8,46.5,13.4,9.7
E09000028,Southwark,2007,93.1,77.8,58.6,47.4,39.3,16.0,10.8
E09000029,Sutton,2007,97.7,82.2,64.4,53.4,46.6,12.9,9.7
E09000030,Tower Hamlets,2007,92.9,76.4,57.2,46.3,39.5,15.9,11.9
E09000031,Waltham Forest,2007,95.1,76.0,56.4,45.6,38.2,14.3,12.6
E09000032,Wandsworth,2007,95.3,78.6,56.5,43.7,35.7,17.4,10.9
E09000033,Westminster,2007,91.7,76.2,57.4,46.9,40.4,12.9,12.4
E13000001,Inner London,2007,94.2,78.5,59.0,48.0,41.2,14.2,11.7
E13000002,Outer London,2007,95.9,80.0,60.1,49.3,42.4,13.9,11.3
E12000001,North East,2007,94.5,80.1,62.3,51.1,43.7,14.2,9.5
E12000002,North West,2007,95.6,81.9,62.7,51.5,43.6,13.0,10.1
E12000003,Yorkshire And The Humber,2007,94.5,78.2,60.1,49.1,41.9,12.3,10.1
E12000004,East Midlands,2007,96.0,81.9,64.4,52.9,45.4,11.9,9.4
E12000005,West Midlands,2007,95.2,81.7,62.3,51.1,43.3,12.0,10.0
E12000006,East,2007,95.7,81.6,63.8,53.1,45.7,11.9,9.5
E12000007,London,2007,95.0,79.2,59.5,48.6,41.7,14.1,11.5
E12000008,South East,2007,96.3,83.8,66.1,55.1,47.3,11.5,9.6
E12000009,South West,2007,95.5,82.6,65.9,55.3,48.1,11.2,9.2
E92000001,England,2007,95.5,81.3,62.9,51.9,44.4,12.4,10.0
W92000004,Wales,2007,94.6,80.1,61.9,50.7,43.6,10.9,9.4
S92000003,Scotland,2007,96.1,81.6,65.5,54.7,47.4,12.6,8.3
N92000002,Northern Ireland,2007,94.6,77.0,62.7,51.3,44.0,10.3,6.5
K04000001,England And Wales,2007,95.4,81.3,62.9,51.8,44.4,12.3,10.0
K03000001,Great Britain,2007,95.5,81.3,63.0,52.0,44.6,12.4,9.9
K02000001,United Kingdom,2007,95.5,81.2,63.0,52.0,44.6,12.3,9.8
E09000001,City of London,2008,63.6,52.8,43.6,38.4,33.2,14.5,7.9
E09000002,Barking and Dagenham,2008,93.8,67.7,49.3,41.7,34.7,19.3,11.2
E09000003,Barnet,2008,87.9,68.0,53.4,46.2,39.5,13.5,12.1
E09000004,Bexley,2008,95.0,74.5,59.1,51.6,43.4,11.5,10.7
E09000005,Brent,2008,91.8,70.9,54.1,45.4,37.9,15.9,11.0
E09000006,Bromley,2008,93.8,68.6,52.9,45.5,39.6,12.0,9.7
E09000007,Camden,2008,85.3,67.9,53.0,44.2,38.1,12.5,9.0
E09000008,Croydon,2008,91.7,72.8,55.2,47.0,40.0,13.2,10.4
E09000009,Ealing,2008,91.4,71.1,54.5,45.2,38.5,15.5,10.8
E09000010,Enfield,2008,93.7,73.0,54.2,45.8,38.1,14.0,10.9
E09000011,Greenwich,2008,92.8,68.5,50.7,43.1,35.9,15.9,11.3
E09000012,Hackney,2008,91.7,68.8,53.2,44.0,37.1,16.2,9.2
E09000013,Hammersmith and Fulham,2008,87.0,64.2,49.0,40.3,33.9,16.7,11.4
E09000014,Haringey,2008,92.3,69.8,52.3,44.2,38.2,15.7,10.5
E09000015,Harrow,2008,92.3,73.7,58.9,49.8,42.2,13.6,11.8
E09000016,Havering,2008,92.7,72.7,53.9,44.7,35.5,13.7,10.0
E09000017,Hillingdon,2008,92.5,75.2,59.9,52.0,43.4,14.1,10.1
E09000018,Hounslow,2008,92.4,73.5,55.0,45.7,38.1,15.4,9.8
